"ID","Date_ID","BibTexKey","ContentType"
321,"Gif-1902","Linstadter.2008Transit","D"
322,"Gif-1902","Rahmani.2004NouvChron","D"
323,"Gif-1902","Rahmani.2004Techn","D"
324,"Gif-1902","LubellSheppard.1991Maghreb","D"
325,"Gif-1902","Close.1980CurResRecI","D"
326,"Gif-1902","Grebenart.1976CapsContrib","D"
327,"Gif-1902","DelibriasGuillier.1974GIFVIII","D"
328,"Gif-1902","Camps.1974TablChron2","D"
329,"Gif-1902","CampsDelibrias.1973ChroCiv","D"
330,"Gif-1902","Grebenart.1972CapsienPhD","D"
333,"Gif-2120","CalPal","D"
334,"Gif-2120","PerrinDachy.2020Press","D"
335,"Gif-2120","Gehlen.2010NeTPSE","D"
336,"Gif-2120","Linstadter.2008Transit","D"
337,"Gif-2120","Rahmani.2004NouvChron","D"
338,"Gif-2120","Rahmani.2004Techn","D"
339,"Gif-2120","LubellSheppard.1991Maghreb","D"
340,"Gif-2120","Close.1980CurResRecI","D"
341,"Gif-2120","Grebenart.1976CapsContrib","D"
342,"Gif-2120","DelibriasGuillier.1974GIFVIII","D"
343,"Gif-2120","Grebenart.1972CapsienPhD","D"
346,"Gif-2121","CalPal","D"
347,"Gif-2121","PerrinDachy.2020Press","D"
348,"Gif-2121","Gehlen.2010NeTPSE","D"
349,"Gif-2121","Linstadter.2008Transit","D"
350,"Gif-2121","Rahmani.2004NouvChron","D"
351,"Gif-2121","Rahmani.2004Techn","D"
352,"Gif-2121","LubellSheppard.1991Maghreb","D"
353,"Gif-2121","Close.1980CurResRecI","D"
354,"Gif-2121","Grebenart.1976CapsContrib","D"
355,"Gif-2121","DelibriasGuillier.1974GIFVIII","D"
356,"Gif-2121","Camps.1974TablChron2","D"
357,"Gif-2121","CampsDelibrias.1973ChroCiv","D"
358,"Gif-2121","Grebenart.1972CapsienPhD","D"
361,"Gif-1900","Linstadter.2008Transit","D"
362,"Gif-1900","Rahmani.2004NouvChron","D"
363,"Gif-1900","Rahmani.2004Techn","D"
364,"Gif-1900","LubellSheppard.1991Maghreb","D"
365,"Gif-1900","Close.1980CurResRecI","D"
366,"Gif-1900","Grebenart.1976CapsContrib","D"
367,"Gif-1900","DelibriasGuillier.1974GIFVIII","D"
368,"Gif-1900","Camps.1974TablChron2","D"
369,"Gif-1900","CampsDelibrias.1973ChroCiv","D"
370,"Gif-1900","Grebenart.1972CapsienPhD","D"
373,"Gif-1899","Linstadter.2008Transit","D"
374,"Gif-1899","Rahmani.2004NouvChron","D"
375,"Gif-1899","Rahmani.2004Techn","D"
376,"Gif-1899","LubellSheppard.1991Maghreb","D"
377,"Gif-1899","Close.1980CurResRecI","D"
378,"Gif-1899","Grebenart.1976CapsContrib","D"
379,"Gif-1899","DelibriasGuillier.1974GIFVIII","D"
380,"Gif-1899","Camps.1974TablChron2","D"
381,"Gif-1899","CampsDelibrias.1973ChroCiv","D"
382,"Gif-1899","Grebenart.1972CapsienPhD","D"
385,"Gif-2119","PerrinDachy.2020Press","D"
386,"Gif-2119","Grebenart.1976CapsContrib","D"
389,"Gif-306","CalPal","D"
390,"Gif-306","Gehlen.2010NeTPSE","D"
391,"Gif-306","Rahmani.2004NouvChron","D"
392,"Gif-306","LubellSheppard.1991Maghreb","D"
393,"Gif-306","Camps.1974TablChron2","D"
394,"Gif-306","CampsDelibrias.1973ChroCiv","D"
395,"Gif-306","DelibriasGuillier.1970GIFV","D"
396,"Gif-306","CampsDelibrias.1968ChroAbs","D"
397,"Gif-306","Camps.1968TablChronPRec","D"
400,"Poz-92376","PerrinDachy.2020Press","D"
403,"Poz-92378","PerrinDachy.2020Press","D"
406,"Poz-92377","PerrinDachy.2020Press","D"
409,"Gif-308","CalPal","D"
410,"Gif-308","Jousse.2017AtlasMammal","D"
411,"Gif-308","Gehlen.2010NeTPSE","D"
412,"Gif-308","Linstadter.2010RecRec","D"
413,"Gif-308","Linstadter.2008Transit","D"
414,"Gif-308","Rahmani.2004NouvChron","D"
415,"Gif-308","LubellSheppard.1991Maghreb","D"
416,"Gif-308","Camps.1974TablChron2","D"
417,"Gif-308","CampsDelibrias.1973ChroCiv","D"
418,"Gif-308","DelibriasGuillier.1970GIFV","D"
419,"Gif-308","CampsDelibrias.1968ChroAbs","D"
420,"Gif-308","Camps.1968TablChronPRec","D"
421,"Gif-308","Camps.1966NouvDaC14Alg","D"
422,"Gif-308","Cadenat.1955Colum54","C; Z"
425,"Gif-309","CalPal","D"
426,"Gif-309","Jousse.2017AtlasMammal","D"
427,"Gif-309","Gehlen.2010NeTPSE","D"
428,"Gif-309","Linstadter.2010RecRec","D"
429,"Gif-309","Linstadter.2008Transit","D"
430,"Gif-309","LubellSheppard.1991Maghreb","D"
431,"Gif-309","Camps.1974TablChron2","D"
432,"Gif-309","CampsDelibrias.1973ChroCiv","D"
433,"Gif-309","DelibriasGuillier.1970GIFV","D"
434,"Gif-309","CampsDelibrias.1968ChroAbs","D"
435,"Gif-309","Camps.1968TablChronPRec","D"
436,"Gif-309","Cadenat.1955Colum54","C; Z"
439,"MC-154","CalPal","D"
440,"MC-154","Jousse.2017AtlasMammal","D"
441,"MC-154","Gehlen.2010NeTPSE","D"
442,"MC-154","Linstadter.2010RecRec","D"
443,"MC-154","Linstadter.2008Transit","D"
444,"MC-154","LubellSheppard.1991Maghreb","D"
445,"MC-154","Close.1980CurResRecI","D"
446,"MC-154","Camps.1974TablChron2","D"
447,"MC-154","CampsDelibrias.1973ChroCiv","D"
448,"MC-154","ThommeretThommeret.1969MIII","D"
449,"MC-154","CampsDelibrias.1968ChroAbs","D"
450,"MC-154","Camps.1968TablChronPRec","D"
451,"MC-154","Camps.1966NouvDaC14Alg","D"
452,"MC-154","Cadenat.1955Colum54","C; Z"
455,"MC-153","Rahmani.2004NouvChron","D"
456,"MC-153","LubellSheppard.1991Maghreb","D"
457,"MC-153","ThommeretThommeret.1969MIII","D"
458,"MC-153","CampsDelibrias.1968ChroAbs","D"
459,"MC-153","Cadenat.1955Colum54","C; Z"
462,"MC-155","Jousse.2017AtlasMammal","D"
463,"MC-155","Linstadter.2008Transit","D"
464,"MC-155","LubellSheppard.1991Maghreb","D"
465,"MC-155","Close.1980CurResRecI","D"
466,"MC-155","Camps.1974TablChron2","D"
467,"MC-155","CampsDelibrias.1973ChroCiv","D"
468,"MC-155","ThommeretThommeret.1969MIII","D"
469,"MC-155","CampsDelibrias.1968ChroAbs","D"
470,"MC-155","Camps.1968TablChronPRec","D"
471,"MC-155","Camps.1966NouvDaC14Alg","D"
472,"MC-155","Cadenat.1955Colum54","C; Z"
475,"MC-156","BenMoussa.2008Ramma","D"
476,"MC-156","LubellSheppard.1991Maghreb","D"
477,"MC-156","Camps.1974TablChron2","D"
478,"MC-156","CampsDelibrias.1973ChroCiv","D"
479,"MC-156","Willett.1971SurvRec","D"
480,"MC-156","ThommeretThommeret.1969MIII","D"
481,"MC-156","Roubet.1969IntDatNeoCap","D"
482,"MC-156","CampsDelibrias.1968ChroAbs","D"
483,"MC-156","Camps.1968TablChronPRec","D"
484,"MC-156","Cadenat.1955Colum54","C; Z"
487,"Gif-307","BenMoussa.2008Ramma","D"
488,"Gif-307","LubellSheppard.1991Maghreb","D"
489,"Gif-307","Camps.1974TablChron2","D"
490,"Gif-307","CampsDelibrias.1973ChroCiv","D"
491,"Gif-307","Willett.1971SurvRec","D"
492,"Gif-307","DelibriasGuillier.1970GIFV","D"
493,"Gif-307","Roubet.1969IntDatNeoCap","D"
494,"Gif-307","CampsDelibrias.1968ChroAbs","D"
495,"Gif-307","Camps.1968TablChronPRec","D"
496,"Gif-307","Cadenat.1955Colum54","C; Z"
499,"ALG-97","Sari.2014Iberomau","D"
500,"ALG-97","Linstadter.2008Transit","D"
501,"ALG-97","LubellSheppard.1991Maghreb","D"
502,"ALG-97","Close.1980CurResRecI","D"
503,"ALG-97","RahmouniRoussillot.1972AlgiersII","D"
504,"ALG-97","Brahimi.1969IndLitTamarHat","D"
505,"ALG-97","Cadenat.1955Colum54","C; Z"
508,"MC-211","LubellSheppard.1991Maghreb","D"
509,"MC-211","Close.1980CurResRecI","D"
510,"MC-211","Camps.1974TablChron2","D"
511,"MC-211","CampsDelibrias.1973ChroCiv","D"
512,"MC-211","ThommeretThommeret.1969MIII","D"
513,"MC-211","CampsDelibrias.1968ChroAbs","D"
514,"MC-211","Camps.1968TablChronPRec","D"
515,"MC-211","Cadenat.1955Colum54","C; Z"
518,"Poz-103172","PerrinDachy.2020Press","D"
521,"Poz-103169","PerrinDachy.2020Press","D"
524,"Poz-103168","PerrinDachy.2020Press","D"
527,"Poz-103171","PerrinDachy.2020Press","D"
530,"Poz-102948","PerrinDachy.2020Press","D"
533,"Gif-3408","PetitMaire.1993URL","D"
534,"Gif-3408","VernetAumassip.1992Inv14C","D"
535,"Gif-3408","AumassipEstorges.1970SiteNeoHM","C:Z"
538,"Gif-883","BenMoussa.2008Ramma","D"
539,"Gif-883","LubellSheppard.1991Maghreb","D"
540,"Gif-883","Camps.1974TablChron2","D"
541,"Gif-883","CampsDelibrias.1973ChroCiv","D"
542,"Gif-883","DelibriasGuillier.1972GIFVII","D"
543,"Gif-883","Willett.1971SurvRec","D"
544,"Gif-883","Roubet.1969IntDatNeoCap","D"
545,"Gif-883","CampsDelibrias.1968ChroAbs","D"
546,"Gif-883","Camps.1968TablChronPRec","D"
549,"Gif-3012","VernetAumassip.1992Inv14C","D"
550,"Gif-3012","Camps.1974TablChron2","C"
553,"Gif-3011","VernetAumassip.1992Inv14C","D"
554,"Gif-3011","Aumassip.1970PotVauf","D"
557,"I-7690","CalPal","D"
558,"I-7690","Gehlen.2010NeTPSE","D"
559,"I-7690","LubellFeathers.2009Post","D"
560,"I-7690","Linstadter.2008Transit","D"
561,"I-7690","Rahmani.2004NouvChron","D"
562,"I-7690","Rahmani.2004Techn","D"
563,"I-7690","Lubell.1984Paleoenv","D"
564,"I-7690","LubellSheppard.1991Maghreb","D"
565,"I-7690","LubellGautier.19821983","D"
566,"I-7690","Close.1980CurResRecI","D"
567,"I-7690","Lubell.1977PrehCultEco","D"
570,"I-7691","CalPal","D"
571,"I-7691","PerrinDachy.2020Press","D"
572,"I-7691","Gehlen.2010NeTPSE","D"
573,"I-7691","LubellFeathers.2009Post","D"
574,"I-7691","Rahmani.2004NouvChron","D"
575,"I-7691","Lubell.1984Paleoenv","D"
576,"I-7691","LubellGautier.19821983","D"
577,"I-7691","Close.1980CurResRecI","D"
578,"I-7691","Lubell.1977PrehCultEco","D"
579,"I-7691","LubellBallais.1975PrehistCultEc","D"
582,"I-9781","CalPal","D"
583,"I-9781","Gehlen.2010NeTPSE","D"
584,"I-9781","LubellFeathers.2009Post","D"
585,"I-9781","Rahmani.2004NouvChron","D"
586,"I-9781","LubellSheppard.1991Maghreb","D"
587,"I-9781","Lubell.1984Paleoenv","D"
588,"I-9781","LubellGautier.19821983","D"
589,"I-9781","Close.1980CurResRecI","D"
590,"I-9781","Lubell.1977PrehCultEco","D"
593,"I-9782","CalPal","D"
594,"I-9782","Gehlen.2010NeTPSE","D"
595,"I-9782","LubellFeathers.2009Post","D"
596,"I-9782","Linstadter.2008Transit","D"
597,"I-9782","Rahmani.2004NouvChron","D"
598,"I-9782","Rahmani.2004Techn","D"
599,"I-9782","LubellSheppard.1991Maghreb","D"
600,"I-9782","Lubell.1984Paleoenv","D"
601,"I-9782","LubellGautier.19821983","D"
602,"I-9782","Close.1980CurResRecI","D"
603,"I-9782","Lubell.1977PrehCultEco","D"
606,"I-9783","CalPal","D"
607,"I-9783","PerrinDachy.2020Press","D"
608,"I-9783","Gehlen.2010NeTPSE","D"
609,"I-9783","LubellFeathers.2009Post","D"
610,"I-9783","Linstadter.2008Transit","D"
611,"I-9783","Rahmani.2004NouvChron","D"
612,"I-9783","Rahmani.2004Techn","D"
613,"I-9783","LubellSheppard.1991Maghreb","D"
614,"I-9783","Lubell.1984Paleoenv","D"
615,"I-9783","LubellGautier.19821983","D"
616,"I-9783","Close.1980CurResRecI","D"
617,"I-9783","Lubell.1977PrehCultEco","D"
618,"I-9783","LubellBallais.1975PrehistCultEc","D"
621,"I-9784","CalPal","D"
622,"I-9784","PerrinDachy.2020Press","D"
623,"I-9784","Gehlen.2010NeTPSE","D"
624,"I-9784","LubellFeathers.2009Post","D"
625,"I-9784","Rahmani.2004NouvChron","D"
626,"I-9784","LubellSheppard.1991Maghreb","D"
627,"I-9784","Lubell.1984Paleoenv","D"
628,"I-9784","LubellGautier.19821983","D"
629,"I-9784","Lubell.1977PrehCultEco","D"
630,"I-9784","LubellBallais.1975PrehistCultEc","D"
633,"I-9785","CalPal","D"
634,"I-9785","PerrinDachy.2020Press","D"
635,"I-9785","Gehlen.2010NeTPSE","D"
636,"I-9785","LubellFeathers.2009Post","D"
637,"I-9785","Rahmani.2004NouvChron","D"
638,"I-9785","LubellSheppard.1991Maghreb","D"
639,"I-9785","Lubell.1984Paleoenv","D"
640,"I-9785","LubellGautier.19821983","D"
641,"I-9785","Close.1980CurResRecI","D"
642,"I-9785","Lubell.1977PrehCultEco","D"
643,"I-9785","LubellBallais.1975PrehistCultEc","D"
646,"I-9786","CalPal","D"
647,"I-9786","PerrinDachy.2020Press","D"
648,"I-9786","Gehlen.2010NeTPSE","D"
649,"I-9786","LubellFeathers.2009Post","D"
650,"I-9786","Rahmani.2004NouvChron","D"
